Fecha;UPAC
1972-09-15;100
1972-09-16;100.03
1972-09-17;100.07
1972-09-18;100.1
1972-09-19;100.13
1972-09-20;100.16
1972-09-21;100.2
1972-09-22;100.23
1972-09-23;100.26
1972-09-24;100.29
1972-09-25;100.33
1972-09-26;100.36
1972-09-27;100.39
1972-09-28;100.42
1972-09-29;100.46
1972-09-30;100.49
1972-10-01;100.52
1972-10-02;100.55
1972-10-03;100.58
1972-10-04;100.61
1972-10-05;100.65
1972-10-06;100.68
1972-10-07;100.71
1972-10-08;100.74
1972-10-09;100.77
1972-10-10;100.8
1972-10-11;100.83
1972-10-12;100.86
1972-10-13;100.9
1972-10-14;100.93
1972-10-15;100.96
1972-10-16;100.99
1972-10-17;101.02
1972-10-18;101.05
1972-10-19;101.08
1972-10-20;101.12
1972-10-21;101.15
1972-10-22;101.18
1972-10-23;101.21
1972-10-24;101.24
1972-10-25;101.27
1972-10-26;101.3
1972-10-27;101.34
1972-10-28;101.37
1972-10-29;101.4
1972-10-30;101.43
1972-10-31;101.46
1972-11-01;101.5
1972-11-02;101.54
1972-11-03;101.57
1972-11-04;101.61
1972-11-05;101.65
1972-11-06;101.69
1972-11-07;101.72
1972-11-08;101.76
1972-11-09;101.8
1972-11-10;101.84
1972-11-11;101.87
1972-11-12;101.91
1972-11-13;101.95
1972-11-14;101.99
1972-11-15;102.02
1972-11-16;102.06
1972-11-17;102.1
1972-11-18;102.14
1972-11-19;102.18
1972-11-20;102.21
1972-11-21;102.25
1972-11-22;102.29
1972-11-23;102.33
1972-11-24;102.37
1972-11-25;102.4
1972-11-26;102.44
1972-11-27;102.48
1972-11-28;102.52
1972-11-29;102.55
1972-11-30;102.59
1972-12-01;102.63
1972-12-02;102.68
1972-12-03;102.72
1972-12-04;102.77
1972-12-05;102.81
1972-12-06;102.85
1972-12-07;102.9
1972-12-08;102.94
1972-12-09;102.99
1972-12-10;103.03
1972-12-11;103.07
1972-12-12;103.12
1972-12-13;103.16
1972-12-14;103.21
1972-12-15;103.25
1972-12-16;103.29
1972-12-17;103.34
1972-12-18;103.38
1972-12-19;103.43
1972-12-20;103.47
1972-12-21;103.51
1972-12-22;103.56
1972-12-23;103.6
1972-12-24;103.65
1972-12-25;103.69
1972-12-26;103.74
1972-12-27;103.78
1972-12-28;103.82
1972-12-29;103.87
1972-12-30;103.91
1972-12-31;103.96
1973-01-01;104.01
1973-01-02;104.06
1973-01-03;104.11
1973-01-04;104.16
1973-01-05;104.21
1973-01-06;104.26
1973-01-07;104.31
1973-01-08;104.36
1973-01-09;104.41
1973-01-10;104.45
1973-01-11;104.5
1973-01-12;104.55
1973-01-13;104.6
1973-01-14;104.65
1973-01-15;104.7
1973-01-16;104.75
1973-01-17;104.8
1973-01-18;104.85
1973-01-19;104.9
1973-01-20;104.95
1973-01-21;105
1973-01-22;105.04
1973-01-23;105.09
1973-01-24;105.14
1973-01-25;105.19
1973-01-26;105.24
1973-01-27;105.29
1973-01-28;105.34
1973-01-29;105.39
1973-01-30;105.44
1973-01-31;105.49
1973-02-01;105.52
1973-02-02;105.56
1973-02-03;105.6
1973-02-04;105.64
1973-02-05;105.68
1973-02-06;105.72
1973-02-07;105.76
1973-02-08;105.8
1973-02-09;105.84
1973-02-10;105.88
1973-02-11;105.92
1973-02-12;105.96
1973-02-13;106
1973-02-14;106.05
1973-02-15;106.09
1973-02-16;106.13
1973-02-17;106.17
1973-02-18;106.21
1973-02-19;106.25
1973-02-20;106.29
1973-02-21;106.33
1973-02-22;106.37
1973-02-23;106.41
1973-02-24;106.45
1973-02-25;106.49
1973-02-26;106.53
1973-02-27;106.57
1973-02-28;106.61
1973-03-01;106.64
1973-03-02;106.67
1973-03-03;106.69
1973-03-04;106.72
1973-03-05;106.75
1973-03-06;106.78
1973-03-07;106.81
1973-03-08;106.83
1973-03-09;106.86
1973-03-10;106.89
1973-03-11;106.92
1973-03-12;106.95
1973-03-13;106.98
1973-03-14;107
1973-03-15;107.03
1973-03-16;107.06
1973-03-17;107.09
1973-03-18;107.12
1973-03-19;107.14
1973-03-20;107.17
1973-03-21;107.2
1973-03-22;107.23
1973-03-23;107.26
1973-03-24;107.29
1973-03-25;107.31
1973-03-26;107.34
1973-03-27;107.37
1973-03-28;107.4
1973-03-29;107.43
1973-03-30;107.46
1973-03-31;107.48
1973-04-01;107.52
1973-04-02;107.56
1973-04-03;107.6
1973-04-04;107.64
1973-04-05;107.68
1973-04-06;107.72
1973-04-07;107.76
1973-04-08;107.81
1973-04-09;107.85
1973-04-10;107.89
1973-04-11;107.93
1973-04-12;107.97
1973-04-13;108.01
1973-04-14;108.05
1973-04-15;108.09
1973-04-16;108.13
1973-04-17;108.17
1973-04-18;108.21
1973-04-19;108.25
1973-04-20;108.29
1973-04-21;108.34
1973-04-22;108.38
1973-04-23;108.42
1973-04-24;108.46
1973-04-25;108.5
1973-04-26;108.54
1973-04-27;108.58
1973-04-28;108.62
1973-04-29;108.66
1973-04-30;108.7
1973-05-01;108.77
1973-05-02;108.85
1973-05-03;108.93
1973-05-04;109
1973-05-05;109.08
1973-05-06;109.16
1973-05-07;109.23
1973-05-08;109.31
1973-05-09;109.38
1973-05-10;109.46
1973-05-11;109.54
1973-05-12;109.61
1973-05-13;109.69
1973-05-14;109.76
